UF;2018
BAHIA;696,97
DISTRITO FEDERAL;8,18
GOIÁS;713,27
MARANHÃO;1.470,39
MATO GROSSO;988,09
MATO GROSSO DO SUL;258,34
MINAS GERAIS;470,56
PARANÁ;0,58
PIAUÍ;482,6
RONDÔNIA;0,42
SÃO PAULO;14,61
TOCANTINS;1.530,09
